Names,Label
abruptly,0
absentmindedly,0
accidentally,0
actually,0
adventurously,0
afterward,0
almost,0
always,0
angrily,0
anxiously,0
arrogantly,0
awkwardly,0
badly,0
beautifully,0
bitterly,0
blindly,0
boldly,0
bravely,0
briefly,0
brightly,0
briskly,0
brutally,0
calmly,0
carefully,0
carelessly,0
cautiously,0
cheerfully,0
clearly,0
cleverly,0
closely,0
colorfully,0
commonly,0
completely,0
correctly,0
courageously,0
crazily,0
cruelly,0
daily,0
daintily,0
dearly,0
deceivingly,0
deliberately,0
delightfully,0
deeply,0
desperately,0
diligently,0
dimly,0
doubtfully,0
dramatically,0
dreamily,0
eagerly,0
easily,0
elegantly,0
enormously,0
enthusiastically,0
equally,0
especially,0
evenly,0
eventually,0
exactly,0
excitedly,0
extremely,0
fairly,0
faithfully,0
famously,0
far,0
fast,0
fatally,0
ferociously,0
fervently,0
fiercely,0
fondly,0
foolishly,0
fortunately,0
frankly,0
frantically,0
freely,0
frenetically,0
frightfully,0
fully,0
furiously,0
generally,0
gently,0
gladly,0
gleefully,0
gracefully,0
gratefully,0
greatly,0
greedily,0
happily,0
hastily,0
healthily,0
heavily,0
helpfully,0
helplessly,0
highly,0
honestly,0
hopelessly,0
hourly,0
hungrily,0
immediately,0
innocently,0
inquisitively,0
instantly,0
intensely,0
intently,0
interestingly,0
inwardly,0
irritably,0
jaggedly,0
jealously,0
jovially,0
joyfully,0
joyously,0
jubilantly,0
judgmentally,0
justly,0
keenly,0
kiddingly,0
kindly,0
knavishly,0
knottily,0
knowingly,0
knowledgeably,0
lazily,0
limply,0
lively,0
loyally,0
madly,0
majestically,0
meaningfully,0
mechanically,0
merrily,0
miserably,0
mockingly,0
monthly,0
mortally,0
mysteriously,0
naturally,0
neatly,0
nervously,0
nicely,0
noisily,0
obediently,0
obnoxiously,0
oddly,0
offensively,0
officially,0
openly,0
optimistically,0
painfully,0
partially,0
patiently,0
perfectly,0
politely,0
poorly,0
positively,0
potentially,0
powerfully,0
promptly,0
properly,0
punctually,0
quickly,0
quietly,0
rapidly,0
rarely,0
really,0
reassuringly,0
recklessly,0
regularly,0
reluctantly,0
repeatedly,0
respectfully,0
rigidly,0
roughly,0
rudely,0
sadly,0
safely,0
scarcely,0
searchingly,0
sedately,0
seemingly,0
selfishly,0
seriously,0
shakily,0
sharply,0
sheepishly,0
shrilly,0
shyly,0
silently,0
sleepily,0
slowly,0
smoothly,0
softly,0
solemnly,0
sometimes,0
soon,0
speedily,0
sternly,0
strictly,0
stupidly,0
successfully,0
suddenly,0
surprisingly,0
suspiciously,0
sweetly,0
swiftly,0
sympathetically,0
tenderly,0
tensely,0
terribly,0
thankfully,0
thoroughly,0
thoughtfully,0
tightly,0
tirelessly,0
truthfully,0
ultimately,0
unabashedly,0
unaccountably,0
unbearably,0
unethically,0
unexpectedly,0
unfortunately,0
unimpressively,0
unnaturally,0
unnecessarily,0
utterly,0
vaguely,0
vainly,0
valiantly,0
vastly,0
verbally,0
viciously,0
victoriously,0
violently,0
vivaciously,0
voluntarily,0
warmly,0
weakly,0
wearily,0
well,0
wetly,0
wholly,0
wildly,0
wisely,0
woefully,0
wonderfully,0
wrongly,0
yearly,0
yesterday,0
yieldingly,0
youthfully,0
zealously,0
zestfully,0
zestily,0
