Names,Label
aardvark,0
albatross,0
alligator,0
alpaca,0
antelope,0
armadillo,0
axolotl,0
baboon,0
badger,0
barracuda,0
basilisk,0
bat,0
beaver,0
bison,0
blackbird,0
bluejay,0
boar,0
buffalo,0
butterfly,0
camel,0
caribou,0
cassowary,0
catfish,0
chameleon,0
cheetah,0
chipmunk,0
clam,0
cobra,0
cod,0
cormorant,0
cougar,0
coyote,0
crab,0
crane,0
crocodile,0
crow,0
cuttlefish,0
deer,0
dingo,0
dolphin,0
donkey,0
dormouse,0
dragonfly,0
duck,0
dugong,0
eagle,0
eel,0
egret,0
elephant,0
elk,0
emu,0
falcon,0
ferret,0
flamingo,0
fox,0
frog,0
gazelle,0
gecko,0
giraffe,0
goat,0
goldfish,0
goose,0
gorilla,0
grasshopper,0
grouse,0
guanaco,0
gull,0
hamster,0
hare,0
hedgehog,0
heron,0
herring,0
hippopotamus,0
hornet,0
horse,0
hummingbird,0
hyena,0
ibex,0
ibis,0
iguana,0
jackal,0
jaguar,0
jay,0
jellyfish,0
kangaroo,0
kingfisher,0
kiwi,0
koala,0
kookaburra,0
krill,0
lemur,0
leopard,0
lion,0
lizard,0
llama,0
lobster,0
lynx,0
magpie,0
mallard,0
manatee,0
mandrill,0
mantis,0
marten,0
meerkat,0
mink,0
mole,0
mongoose,0
monkey,0
moose,0
mouse,0
narwhal,0
newt,0
octopus,0
okapi,0
opossum,0
orangutan,0
orca,0
ostrich,0
otter,0
owl,0
oyster,0
panda,0
panther,0
parrot,0
peacock,0
pelican,0
penguin,0
pheasant,0
pig,0
pigeon,0
platypus,0
polar_bear,0
puffin,0
quail,0
rabbit,0
raccoon,0
ram,0
rat,0
rattlesnake,0
raven,0
reindeer,0
rhinoceros,0
robin,0
salamander,0
salmon,0
sandpiper,0
sardine,0
scorpion,0
seahorse,0
seal,0
shark,0
sheep,0
shrimp,0
skunk,0
sloth,0
snail,0
snake,0
sparrow,0
spider,0
squid,0
squirrel,0
starfish,0
stork,0
swan,0
tapir,0
tarsier,0
termite,0
tiger,0
toad,0
toucan,0
trout,0
turkey,0
turtle,0
viper,0
vulture,0
walrus,0
wasp,0
weasel,0
whale,0
wildcat,0
wolf,0
wolverine,0
wombat,0
woodpecker,0
worm,0
yak,0
zebra,0
bromeliad,0
lavender,0
fennel,0
lime,0
cactus,0
hydrangea,0
oak,0
bougainvillea,0
dandelion,0
aspen,0
teak,0
pine,0
nasturtium,0
marigold,0
bramble,0
geranium,0
beech,0
foxglove,0
magnolia,0
lilac,0
jasmine,0
alder,0
hawthorn,0
mistletoe,0
sequoia,0
acacia,0
zinnia,0
fir,0
narcissus,0
banyan,0
mint,0
sycamore,0
rhododendron,0
cinnamon,0
gardenia,0
heather,0
dogwood,0
orchid,0
palm,0
ginseng,0
forsythia,0
bluebell,0
yarrow,0
thistle,0
blackberry,0
sunflower,0
azalea,0
plum,0
watercress,0
daffodil,0
mushroom,0
saffron,0
camellia,0
hibiscus,0
peppermint,0
cedar,0
mulberry,0
carnation,0
cypress,0
honeysuckle,0
flax,0
mahogany,0
clover,0
bamboo,0
yucca,0
pecan,0
rosemary,0
poinsettia,0
chrysanthemum,0
walnut,0
tulip,0
barberry,0
primrose,0
birch,0
peach,0
apple,0
anemone,0
coriander,0
pansy,0
kiwi,0
dahlia,0
redwood,0
spruce,0
tamarind,0
pear,0
fern,0
eucalyptus,0
fig,0
wisteria,0
