Names,Label
accept,0
achieve,0
act,0
add,0
adjust,0
admire,0
admit,0
advise,0
afford,0
agree,0
alert,0
allow,0
analyze,0
answer,0
apologize,0
appear,0
apply,0
appoint,0
appreciate,0
approve,0
argue,0
arrange,0
arrest,0
arrive,0
ask,0
assemble,0
assist,0
attach,0
attack,0
attempt,0
attend,0
attract,0
avoid,0
bake,0
balance,0
ban,0
bathe,0
become,0
begin,0
behave,0
believe,0
belong,0
bless,0
blink,0
boast,0
boil,0
borrow,0
bounce,0
break,0
breathe,0
bring,0
build,0
burn,0
burst,0
buy,0
calculate,0
call,0
capture,0
care,0
carry,0
catch,0
challenge,0
change,0
charge,0
chase,0
cheat,0
check,0
cheer,0
choose,0
clap,0
clean,0
climb,0
close,0
collect,0
color,0
comb,0
comfort,0
command,0
communicate,0
compare,0
compete,0
complain,0
complete,0
concentrate,0
concern,0
confess,0
confuse,0
connect,0
consider,0
construct,0
control,0
cook,0
copy,0
correct,0
count,0
cover,0
create,0
criticize,0
cry,0
cut,0
dance,0
decide,0
deliver,0
demand,0
deny,0
depend,0
describe,0
destroy,0
develop,0
disagree,0
discover,0
discuss,0
dislike,0
distribute,0
dive,0
do,0
doubt,0
drag,0
draw,0
dream,0
dress,0
drink,0
drive,0
drop,0
dry,0
earn,0
eat,0
educate,0
employ,0
encourage,0
enjoy,0
enter,0
establish,0
estimate,0
evaluate,0
examine,0
exercise,0
exist,0
expand,0
expect,0
explain,0
explore,0
express,0
extend,0
face,0
fail,0
fall,0
fear,0
feed,0
feel,0
fight,0
fill,0
find,0
finish,0
fix,0
fly,0
follow,0
force,0
forget,0
forgive,0
form,0
found,0
freeze,0
gather,0
get,0
give,0
go,0
grab,0
grow,0
guess,0
guide,0
handle,0
hang,0
happen,0
hate,0
have,0
hear,0
help,0
hide,0
hit,0
hold,0
hope,0
hug,0
hunt,0
hurry,0
identify,0
ignore,0
imagine,0
improve,0
include,0
increase,0
inform,0
initiate,0
inspect,0
instruct,0
interfere,0
introduce,0
investigate,0
invite,0
involve,0
join,0
jump,0
keep,0
kick,0
kill,0
kiss,0
know,0
laugh,0
lead,0
learn,0
leave,0
lend,0
lift,0
like,0
listen,0
live,0
look,0
lose,0
love,0
make,0
manage,0
mark,0
marry,0
match,0
measure,0
meet,0
melt,0
move,0
need,0
notice,0
obey,0
observe,0
obtain,0
offer,0
open,0
order,0
organize,0
overcome,0
own,0
pack,0
paint,0
participate,0
pay,0
perform,0
persuade,0
plan,0
play,0
point,0
postpone,0
pour,0
practice,0
prefer,0
prepare,0
present,0
press,0
prevent,0
produce,0
promise,0
protect,0
prove,0
provide,0
pull,0
push,0
put,0
question,0
reach,0
read,0
realize,0
receive,0
recognize,0
recommend,0
record,0
reduce,0
refer,0
reflect,0
refuse,0
regret,0
relax,0
release,0
rely,0
remember,0
remove,0
repair,0
repeat,0
replace,0
reply,0
report,0
request,0
rescue,0
respond,0
rest,0
restore,0
return,0
ride,0
ring,0
rise,0
risk,0
run,0
save,0
say,0
see,0
seek,0
sell,0
send,0
serve,0
set,0
settle,0
shake,0
share,0
shout,0
show,0
shut,0
sing,0
sit,0
sleep,0
smile,0
solve,0
sort,0
speak,0
spend,0
spill,0
spread,0
stand,0
start,0
stay,0
steal,0
stick,0
study,0
succeed,0
suffer,0
suggest,0
suit,0
supply,0
support,0
suppose,0
surprise,0
survive,0
take,0
talk,0
teach,0
tell,0
tend,0
thank,0
think,0
throw,0
touch,0
train,0
travel,0
treat,0
try,0
turn,0
understand,0
use,0
visit,0
wait,0
wake,0
walk,0
want,0
warn,0
wash,0
watch,0
wear,0
win,0
wish,0
work,0
worry,0
write,0
