Names,Label
ascorbic_acid,0
benzoic_acid,0
citric_acid,0
sorbic_acid,0
tartaric_acid,0
calcium_carbonate,0
calcium_chloride,0
calcium_propionate,0
calcium_sulfate,0
caramel_color,0
carrageenan,0
cellulose,0
dextrin,0
dextrose,0
emulsifier,0
erythorbic_acid,0
ethyl_vanillin,0
flavor_enhancer,0
fructose,0
gelatin,0
glucose,0
glycerin,0
glycerol,0
guar_gum,0
inositol,0
isomalt,0
lactic_acid,0
lecithin,0
malic_acid,0
mannitol,0
methylcellulose,0
monosodium_glutamate,0
pectin,0
polysorbate_80,0
potassium_benzoate,0
potassium_sorbate,0
propylene_glycol,0
salt,0
sodium_benzoate,0
sodium_caseinate,0
sodium_citrate,0
sodium_erythorbate,0
sodium_metabisulfite,0
sodium_nitrate,0
sodium_nitrite,0
sodium_phosphate,0
starch,0
sucralose,0
sucrose,0
sulfur_dioxide,0
titanium_dioxide,0
xanthan_gum,0
yeast_extract,0
zinc_sulfate,0
annatto,0
beta_carotene,0
caffeine,0
canthaxanthin,0
carnauba_wax,0
dimethylpolysiloxane,0
eugenol,0
hydrolyzed_vegetable_protein,0
maltodextrin,0
riboflavin,0
tocopherols,0
vanillin,0
aspartame,0
acesulfame_potassium,0
saccharin,0
sorbitol,0
xylitol,0
erythritol,0
agar,0
modified_starch,0
pectinase,0
invert_sugar,0
carob_gum,0
hydroxypropyl_methylcellulose,0
propylene_glycol_alginate,0
isomaltulose,0
glucono_delta_lactone,0
potassium_chloride,0
monocalcium_phosphate,0
