Names,Label
archery,0
badminton,0
baseball,0
basketball,0
bobsledding,0
bocce,0
bowling,0
boxing,0
canoeing,0
cricket,0
curling,0
cycling,0
diving,0
equestrian,0
fencing,0
football,0
golf,0
gymnastics,0
handball,0
hockey,0
judo,0
karate,0
kayaking,0
lacrosse,0
marathon,0
motorsport,0
paddleboarding,0
paintball,0
paragliding,0
polo,0
powerlifting,0
rafting,0
rock_climbing,0
rowing,0
rugby,0
sailing,0
scuba_diving,0
shooting,0
skiing,0
snowboarding,0
soccer,0
softball,0
speed_skating,0
squash,0
surfing,0
swimming,0
table_tennis,0
taekwondo,0
tennis,0
track_and_field,0
triathlon,0
volleyball,0
water_polo,0
weightlifting,0
wrestling,0
