Names,Label
action_figure,0
ball,0
barbie_doll,0
board_game,0
building_blocks,0
car_model,0
checkers,0
chess,0
crayons,0
dollhouse,0
frisbee,0
hula_hoop,0
jigsaw_puzzle,0
jump_rope,0
kite,0
lego_set,0
marbles,0
model_airplane,0
play_doh,0
plush_toy,0
pogo_stick,0
puppet,0
race_car,0
remote_control_car,0
rubiks_cube,0
sandbox,0
skateboard,0
slinky,0
stuffed_animal,0
swing,0
teddy_bear,0
train_set,0
tricycle,0
trompo,0
water_gun,0
yo_yo,0
xylophone,0
bubble_blower,0
robot_toy,0
toy_soldier,0
magic_kit,0
kaleidoscope,0
top,0
drone,0
slime,0
action_figure_set,0
toy_kitchen,0
toy_phone,0
toy_toolkit,0
toy_instruments,0
