Names,Label
accept,0
add,0
admire,0
admit,0
advise,0
agree,0
allow,0
answer,0
apologize,0
appear,0
apply,0
argue,0
arrive,0
ask,0
assist,0
assume,0
attack,0
avoid,0
bake,0
bathe,0
be,0
beat,0
become,0
begin,0
believe,0
belong,0
bend,0
bite,0
bless,0
blow,0
borrow,0
break,0
bring,0
build,0
burn,0
buy,0
call,0
can,0
care,0
carry,0
catch,0
change,0
choose,0
clean,0
climb,0
close,0
collect,0
come,0
complain,0
cook,0
copy,0
correct,0
could,0
count,0
cry,0
cut,0
dance,0
decide,0
deliver,0
deny,0
depend,0
describe,0
destroy,0
develop,0
die,0
dig,0
discover,0
do,0
draw,0
dream,0
dress,0
drink,0
drive,0
drop,0
dry,0
eat,0
enable,0
encourage,0
end,0
enjoy,0
enter,0
escape,0
examine,0
exist,0
expect,0
explain,0
explore,0
fall,0
feed,0
feel,0
fight,0
find,0
finish,0
fit,0
fly,0
follow,0
forbid,0
forget,0
forgive,0
freeze,0
give,0
go,0
grow,0
guess,0
happen,0
hate,0
have,0
hear,0
help,0
hide,0
hit,0
hold,0
hope,0
hug,0
hurt,0
imagine,0
improve,0
include,0
increase,0
influence,0
inform,0
insist,0
invite,0
jump,0
keep,0
kick,0
kill,0
kiss,0
know,0
laugh,0
learn,0
leave,0
lend,0
let,0
lie,0
like,0
listen,0
live,0
look,0
lose,0
love,0
make,0
manage,0
mean,0
meet,0
miss,0
move,0
need,0
notice,0
obey,0
offer,0
open,0
order,0
own,0
paint,0
pay,0
play,0
please,0
practice,0
prepare,0
present,0
prevent,0
produce,0
promise,0
protect,0
prove,0
pull,0
push,0
put,0
read,0
realize,0
receive,0
recognize,0
recommend,0
reduce,0
reflect,0
refuse,0
regret,0
relax,0
rely,0
remember,0
repeat,0
replace,0
reply,0
report,0
require,0
rest,0
return,0
ride,0
ring,0
rise,0
run,0
save,0
say,0
see,0
sell,0
send,0
serve,0
set,0
shake,0
share,0
shoot,0
show,0
shut,0
sing,0
sit,0
sleep,0
smile,0
solve,0
speak,0
spend,0
stand,0
start,0
stay,0
steal,0
stop,0
study,0
succeed,0
suffer,0
suggest,0
supply,0
support,0
suppose,0
survive,0
swim,0
take,0
talk,0
teach,0
tell,0
think,0
throw,0
touch,0
train,0
travel,0
try,0
turn,0
understand,0
use,0
visit,0
wait,0
wake,0
walk,0
want,0
warn,0
wash,0
watch,0
wear,0
win,0
wish,0
work,0
worry,0
write,0
